state,year,quarter,district,count,amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,442,931663.08
Andaman & Nicobar Islands,2018,1,South Andaman District,5688,12560249.34
Andaman & Nicobar Islands,2018,1,Nicobars District,528,1139848.8
Andaman & Nicobar Islands,2018,2,North And Middle Andaman District,825,1317863.08
Andaman & Nicobar Islands,2018,2,South Andaman District,9395,23948235.52
Andaman & Nicobar Islands,2018,2,Nicobars District,1120,3072436.91
Andaman & Nicobar Islands,2018,3,North And Middle Andaman District,1283,4901529.52
Andaman & Nicobar Islands,2018,3,South Andaman District,13511,44268112.46
Andaman & Nicobar Islands,2018,3,Nicobars District,1471,6387829.15
Andaman & Nicobar Islands,2018,4,North And Middle Andaman District,2137,7955635.92
Andaman & Nicobar Islands,2018,4,South Andaman District,20136,75411840.8
Andaman & Nicobar Islands,2018,4,Nicobars District,1485,7180859.35
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,3264,9561708.74
Andaman & Nicobar Islands,2019,1,South Andaman District,25683,85501972.39
Andaman & Nicobar Islands,2019,1,Nicobars District,1539,7236059.55
Andaman & Nicobar Islands,2019,2,North And Middle Andaman District,3371,8612103.14
Andaman & Nicobar Islands,2019,2,South Andaman District,28490,102530955.71
Andaman & Nicobar Islands,2019,2,Nicobars District,1828,9111650.82
Andaman & Nicobar Islands,2019,3,North And Middle Andaman District,4049,11481466.28
Andaman & Nicobar Islands,2019,3,South Andaman District,27421,91023888.33
Andaman & Nicobar Islands,2019,3,Nicobars District,2300,11566421.48
Andaman & Nicobar Islands,2019,4,North And Middle Andaman District,4716,13524056.78
Andaman & Nicobar Islands,2019,4,South Andaman District,27843,110930312.21
Andaman & Nicobar Islands,2019,4,Nicobars District,2600,12384161.53
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,5674,14697371.62
Andaman & Nicobar Islands,2020,1,South Andaman District,32713,134679396.91
Andaman & Nicobar Islands,2020,1,Nicobars District,2911,12099543.77
Andaman & Nicobar Islands,2020,2,North And Middle Andaman District,10979,22447714.06
Andaman & Nicobar Islands,2020,2,South Andaman District,48088,132855778.75
Andaman & Nicobar Islands,2020,2,Nicobars District,3895,14341508.6
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,16747,33486883.37
Andaman & Nicobar Islands,2020,3,South Andaman District,95323,282366109.21
Andaman & Nicobar Islands,2020,3,Nicobars District,5413,22166453.75
Andaman & Nicobar Islands,2020,4,North And Middle Andaman District,29349,68941322.39
Andaman & Nicobar Islands,2020,4,South Andaman District,186494,523122462.88
Andaman & Nicobar Islands,2020,4,Nicobars District,8688,35218871.04
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,27358,75027255.28
Andaman & Nicobar Islands,2021,1,South Andaman District,207092,669604045.12
Andaman & Nicobar Islands,2021,1,Nicobars District,10302,39075266.99
Andaman & Nicobar Islands,2021,2,North And Middle Andaman District,39200,90233388.79
Andaman & Nicobar Islands,2021,2,South Andaman District,286907,760893020.57
Andaman & Nicobar Islands,2021,2,Nicobars District,15307,48020606.75
Andaman & Nicobar Islands,2021,3,North And Middle Andaman District,46592,118254865.83
Andaman & Nicobar Islands,2021,3,South Andaman District,382418,1116789010.65
Andaman & Nicobar Islands,2021,3,Nicobars District,20754,74980519.33
Andaman & Nicobar Islands,2021,4,North And Middle Andaman District,53115,156486112.29
Andaman & Nicobar Islands,2021,4,South Andaman District,558571,1694794708.01
Andaman & Nicobar Islands,2021,4,Nicobars District,24437,81329281.03
Andaman & Nicobar Islands,2022,1,North And Middle Andaman District,60059,161624878.52
Andaman & Nicobar Islands,2022,1,South Andaman District,705512,1872991195.9
Andaman & Nicobar Islands,2022,1,Nicobars District,29177,94414127.65
Andaman & Nicobar Islands,2022,2,North And Middle Andaman District,72573,195693167.79
Andaman & Nicobar Islands,2022,2,South Andaman District,954875,2357326563.36
Andaman & Nicobar Islands,2022,2,Nicobars District,43769,132900618.93
Andaman & Nicobar Islands,2022,3,North And Middle Andaman District,79574,211581970.34
Andaman & Nicobar Islands,2022,3,South Andaman District,1455255,2967719400.85
Andaman & Nicobar Islands,2022,3,Nicobars District,49550,131330400.95
Andaman & Nicobar Islands,2022,4,North And Middle Andaman District,93297,241431284.36
Andaman & Nicobar Islands,2022,4,South Andaman District,1835592,3600887266.1
Andaman & Nicobar Islands,2022,4,Nicobars District,58646,142355853.97
Andaman & Nicobar Islands,2023,1,North And Middle Andaman District,152187,392080332.0
Andaman & Nicobar Islands,2023,1,South Andaman District,2030078,3867385426.0
Andaman & Nicobar Islands,2023,1,Nicobars District,94127,202062829.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman District,181149,462414675.0
Andaman & Nicobar Islands,2023,2,South Andaman District,2417058,4297737197.0
Andaman & Nicobar Islands,2023,2,Nicobars District,109568,230192364.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman District,198547,495623030.0
Andaman & Nicobar Islands,2023,3,South Andaman District,2771397,4462201588.0
Andaman & Nicobar Islands,2023,3,Nicobars District,128432,253772173.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman District,230234,540759631.0
Andaman & Nicobar Islands,2023,4,South Andaman District,3311962,5417264997.0
Andaman & Nicobar Islands,2023,4,Nicobars District,153587,311527871.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman District,266400,601756070.0
Andaman & Nicobar Islands,2024,1,South Andaman District,3751724,5952049462.0
Andaman & Nicobar Islands,2024,1,Nicobars District,166796,305346303.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman District,313301,676844858.0
Andaman & Nicobar Islands,2024,2,South Andaman District,4153251,6285248054.0
Andaman & Nicobar Islands,2024,2,Nicobars District,186672,333687418.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman District,364075,724234808.0
Andaman & Nicobar Islands,2024,3,South Andaman District,4704639,6567147442.0
Andaman & Nicobar Islands,2024,3,Nicobar District,210536,372462759.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman District,411230,759100984.0
Andaman & Nicobar Islands,2024,4,South Andaman District,5419850,7760167334.0
Andaman & Nicobar Islands,2024,4,Nicobar District,232820,401676455.0
Andhra Pradesh,2018,1,East Godavari District,943935,1235785515.6
Andhra Pradesh,2018,1,Srikakulam District,458921,587778028.92
Andhra Pradesh,2018,1,Spsr Nellore District,531612,676643237.81
Andhra Pradesh,2018,1,Vizianagaram District,420990,505783445.78
Andhra Pradesh,2018,1,Visakhapatnam District,1256469,1749966196.5
Andhra Pradesh,2018,1,Prakasam District,534757,748990775.87
Andhra Pradesh,2018,1,Anantapur District,638664,788830646.03
Andhra Pradesh,2018,1,Ysr District,487333,681481931.09
Andhra Pradesh,2018,1,West Godavari District,577090,853547668.75
Andhra Pradesh,2018,1,Kurnool District,679623,764905298.74
Andhra Pradesh,2018,1,Chittoor District,830324,1009621878.09
Andhra Pradesh,2018,1,Guntur District,815932,1108686589.03
Andhra Pradesh,2018,1,Krishna District,863935,1284255179.62
Andhra Pradesh,2018,2,East Godavari District,1221677,2168914928.42
Andhra Pradesh,2018,2,Srikakulam District,559868,929392017.37
Andhra Pradesh,2018,2,Spsr Nellore District,780454,1542057934.01
Andhra Pradesh,2018,2,Vizianagaram District,529588,811711367.51
Andhra Pradesh,2018,2,Visakhapatnam District,1641192,2987853607.29
Andhra Pradesh,2018,2,Prakasam District,739991,1571167562.13
Andhra Pradesh,2018,2,Anantapur District,937023,1690366079.06
Andhra Pradesh,2018,2,Ysr District,690842,1415500367.69
Andhra Pradesh,2018,2,West Godavari District,786033,1688025212.3
Andhra Pradesh,2018,2,Kurnool District,968439,1531888665.68
Andhra Pradesh,2018,2,Chittoor District,1185723,1990419125.89
Andhra Pradesh,2018,2,Guntur District,1088101,2108475811.79
Andhra Pradesh,2018,2,Krishna District,1224987,2448141593.49
Andhra Pradesh,2018,3,East Godavari District,3226907,3551247095.31
Andhra Pradesh,2018,3,Srikakulam District,1073883,1318322236.6
Andhra Pradesh,2018,3,Spsr Nellore District,1308890,2215938596.19
Andhra Pradesh,2018,3,Vizianagaram District,970132,1163546006.9
Andhra Pradesh,2018,3,Visakhapatnam District,3394576,4821892253.39
Andhra Pradesh,2018,3,Prakasam District,1319651,2346453445.48
Andhra Pradesh,2018,3,Anantapur District,1815215,2681787750.46
Andhra Pradesh,2018,3,Ysr District,1557444,2235904512.25
Andhra Pradesh,2018,3,West Godavari District,1431282,2309078492.81
Andhra Pradesh,2018,3,Kurnool District,2921189,2908389261.54
Andhra Pradesh,2018,3,Chittoor District,2297429,3283517630.72
Andhra Pradesh,2018,3,Guntur District,1912529,3127764663.18
Andhra Pradesh,2018,3,Krishna District,2396934,3754202654.38
Andhra Pradesh,2018,4,East Godavari District,3052762,4652624623.44
Andhra Pradesh,2018,4,Srikakulam District,1252807,1870278609.5
Andhra Pradesh,2018,4,Spsr Nellore District,1814997,3293448556.97
Andhra Pradesh,2018,4,Vizianagaram District,1386787,1817673252.54
Andhra Pradesh,2018,4,Visakhapatnam District,4791421,7366635864.85
Andhra Pradesh,2018,4,Prakasam District,1692862,3255254226.04
Andhra Pradesh,2018,4,Anantapur District,2286391,3975878156.33
Andhra Pradesh,2018,4,Ysr District,1732527,3252340063.25
Andhra Pradesh,2018,4,West Godavari District,1688482,3237504255.46
Andhra Pradesh,2018,4,Kurnool District,2508530,3626544852.41
Andhra Pradesh,2018,4,Chittoor District,3166201,4979093890.22
Andhra Pradesh,2018,4,Guntur District,2546620,4730251217.7
Andhra Pradesh,2018,4,Krishna District,2839161,5416251838.13
Andhra Pradesh,2019,1,East Godavari District,5440146,7382264724.6
Andhra Pradesh,2019,1,Srikakulam District,2526855,3407912878.42
Andhra Pradesh,2019,1,Spsr Nellore District,3333584,5161932216.22
Andhra Pradesh,2019,1,Vizianagaram District,2798241,3364576948.3
Andhra Pradesh,2019,1,Visakhapatnam District,9690866,13459857440.55
Andhra Pradesh,2019,1,Prakasam District,2931081,4807527779.22
Andhra Pradesh,2019,1,Anantapur District,3891336,6044730653.19
Andhra Pradesh,2019,1,Ysr District,2852197,4915811593.9
Andhra Pradesh,2019,1,West Godavari District,2829437,4623764455.47
Andhra Pradesh,2019,1,Kurnool District,4193432,5541564892.51
Andhra Pradesh,2019,1,Chittoor District,6486813,8223371732.23
Andhra Pradesh,2019,1,Guntur District,4846553,7765934169.4
Andhra Pradesh,2019,1,Krishna District,5443981,9061346433.07
Andhra Pradesh,2019,2,East Godavari District,4699261,9116404622.48
Andhra Pradesh,2019,2,Srikakulam District,2019203,4066576539.94
Andhra Pradesh,2019,2,Spsr Nellore District,3141891,6880873007.48
Andhra Pradesh,2019,2,Vizianagaram District,2272320,4443041665.04
Andhra Pradesh,2019,2,Visakhapatnam District,11705738,20797479804.03
Andhra Pradesh,2019,2,Prakasam District,2670529,6262396448.46
Andhra Pradesh,2019,2,Anantapur District,3578836,7830782361.38
Andhra Pradesh,2019,2,Ysr District,2606284,6376856828.13
Andhra Pradesh,2019,2,West Godavari District,2402074,5676818258.96
Andhra Pradesh,2019,2,Kurnool District,3895824,7358285187.02
Andhra Pradesh,2019,2,Chittoor District,5983308,10982727976.22
Andhra Pradesh,2019,2,Guntur District,5005275,10405246943.48
Andhra Pradesh,2019,2,Krishna District,6428472,13437029115.62
Andhra Pradesh,2019,3,East Godavari District,6537303,11387726470.58
Andhra Pradesh,2019,3,Srikakulam District,2556296,4610131289.52
Andhra Pradesh,2019,3,Spsr Nellore District,4150195,8256600118.74
Andhra Pradesh,2019,3,Vizianagaram District,2861581,4922069039.19
Andhra Pradesh,2019,3,Visakhapatnam District,16694947,26944837120.05
Andhra Pradesh,2019,3,Prakasam District,3430750,7354502261.15
Andhra Pradesh,2019,3,Anantapur District,4889720,9554081289.49
Andhra Pradesh,2019,3,Ysr District,3296586,7447544274.21
Andhra Pradesh,2019,3,West Godavari District,3179541,6627629029.01
Andhra Pradesh,2019,3,Kurnool District,5139134,9025632779.41
Andhra Pradesh,2019,3,Chittoor District,8201783,13837455758.76
Andhra Pradesh,2019,3,Guntur District,6942304,13075661264.19
Andhra Pradesh,2019,3,Krishna District,8408474,16404073560.5
Andhra Pradesh,2019,4,East Godavari District,9285739,16816774065.3
Andhra Pradesh,2019,4,Srikakulam District,3712555,6832369301.88
Andhra Pradesh,2019,4,Spsr Nellore District,5877804,11786014089.19
Andhra Pradesh,2019,4,Vizianagaram District,3998234,7175851807.07
Andhra Pradesh,2019,4,Visakhapatnam District,23594874,39133296330.04
Andhra Pradesh,2019,4,Prakasam District,4865473,10604077824.8
Andhra Pradesh,2019,4,Anantapur District,6764112,13887248889.06
Andhra Pradesh,2019,4,Ysr District,4793157,10865073855.73
Andhra Pradesh,2019,4,West Godavari District,4596479,9710614747.2
Andhra Pradesh,2019,4,Kurnool District,7001958,13233105728.55
Andhra Pradesh,2019,4,Chittoor District,11246986,19298476027.88
Andhra Pradesh,2019,4,Guntur District,9761330,18565626418.04
Andhra Pradesh,2019,4,Krishna District,11719402,23039786404.05
Andhra Pradesh,2020,1,East Godavari District,11346242,21854701379.43
Andhra Pradesh,2020,1,Srikakulam District,4835092,9777575594.18
Andhra Pradesh,2020,1,Spsr Nellore District,7430247,15387829694.45
Andhra Pradesh,2020,1,Vizianagaram District,5042066,9879174240.92
Andhra Pradesh,2020,1,Visakhapatnam District,27115031,48809747614.68
Andhra Pradesh,2020,1,Prakasam District,6318396,14169104764.53
Andhra Pradesh,2020,1,Anantapur District,8466129,17864325752.83
Andhra Pradesh,2020,1,Ysr District,6031255,14059924636.82
Andhra Pradesh,2020,1,West Godavari District,5919670,12995834340.72
Andhra Pradesh,2020,1,Kurnool District,8246869,17022710311.81
Andhra Pradesh,2020,1,Chittoor District,13257740,23441848567.34
Andhra Pradesh,2020,1,Guntur District,11493331,22992734620.65
Andhra Pradesh,2020,1,Krishna District,12175289,24481702770.71
Andhra Pradesh,2020,2,East Godavari District,13130334,26319906327.32
Andhra Pradesh,2020,2,Srikakulam District,6425515,12153650076.88
Andhra Pradesh,2020,2,Spsr Nellore District,9454274,20665376460.77
Andhra Pradesh,2020,2,Vizianagaram District,6690313,12819344389.55
Andhra Pradesh,2020,2,Visakhapatnam District,25300401,48293889917.41
Andhra Pradesh,2020,2,Prakasam District,8844580,19846026726.9
Andhra Pradesh,2020,2,Anantapur District,10473739,22094006659.41
Andhra Pradesh,2020,2,Ysr District,8033609,19597207268.13
Andhra Pradesh,2020,2,West Godavari District,7273096,16585866855.16
Andhra Pradesh,2020,2,Kurnool District,9821381,22419372061.81
Andhra Pradesh,2020,2,Chittoor District,14848197,27361300300.02
Andhra Pradesh,2020,2,Guntur District,12308707,27463593607.84
Andhra Pradesh,2020,2,Krishna District,12313709,26964149095.37
Andhra Pradesh,2020,3,East Godavari District,17972431,39300043804.76
Andhra Pradesh,2020,3,Srikakulam District,8286289,18029574581.34
Andhra Pradesh,2020,3,Spsr Nellore District,16468209,39128324534.03
Andhra Pradesh,2020,3,Vizianagaram District,8236703,17567816576.5
Andhra Pradesh,2020,3,Visakhapatnam District,34421299,67628440368.11
Andhra Pradesh,2020,3,Prakasam District,12266310,31221704852.45
Andhra Pradesh,2020,3,Anantapur District,14447683,34102037972.66
Andhra Pradesh,2020,3,Ysr District,11934653,32037007334.13
Andhra Pradesh,2020,3,West Godavari District,10412351,25408608725.75
Andhra Pradesh,2020,3,Kurnool District,13243292,32529351107.17
Andhra Pradesh,2020,3,Chittoor District,20501863,42811566246.16
Andhra Pradesh,2020,3,Guntur District,17601395,42531195809.75
Andhra Pradesh,2020,3,Krishna District,19110457,44788458672.08
Andhra Pradesh,2020,4,East Godavari District,25989490,58732615663.12
Andhra Pradesh,2020,4,Srikakulam District,11092184,25222520275.28
Andhra Pradesh,2020,4,Spsr Nellore District,20934374,49115443663.38
Andhra Pradesh,2020,4,Vizianagaram District,10580824,24094847668.45
Andhra Pradesh,2020,4,Visakhapatnam District,46551467,91879823025.4
Andhra Pradesh,2020,4,Prakasam District,16176867,41852443493.52
Andhra Pradesh,2020,4,Anantapur District,20996384,49732610814.26
Andhra Pradesh,2020,4,Ysr District,15676878,42572974713.44
Andhra Pradesh,2020,4,West Godavari District,15674762,40310975762.6
Andhra Pradesh,2020,4,Kurnool District,18737323,44718203115.23
Andhra Pradesh,2020,4,Chittoor District,29590411,61505711149.8
Andhra Pradesh,2020,4,Guntur District,26136538,60641872021.25
Andhra Pradesh,2020,4,Krishna District,27981050,64461504667.61
Andhra Pradesh,2021,1,East Godavari District,26190701,60027984987.97
Andhra Pradesh,2021,1,Srikakulam District,11160473,26486623313.09
Andhra Pradesh,2021,1,Spsr Nellore District,22541428,52210333201.53
Andhra Pradesh,2021,1,Vizianagaram District,10514582,24153782497.24
Andhra Pradesh,2021,1,Visakhapatnam District,48248923,95308386037.85
Andhra Pradesh,2021,1,Prakasam District,15175395,41396223622.17
Andhra Pradesh,2021,1,Anantapur District,20102957,48353870395.02
Andhra Pradesh,2021,1,Ysr District,15374473,42570919448.5
Andhra Pradesh,2021,1,West Godavari District,16015685,42124030669.36
Andhra Pradesh,2021,1,Kurnool District,17918524,44941629659.57
Andhra Pradesh,2021,1,Chittoor District,29342609,60947491846.66
Andhra Pradesh,2021,1,Guntur District,27445045,64207987853.11
Andhra Pradesh,2021,1,Krishna District,29717175,69715406644.53
Andhra Pradesh,2021,2,East Godavari District,31717908,74604325863.66
Andhra Pradesh,2021,2,Srikakulam District,13546232,32298129544.54
Andhra Pradesh,2021,2,Spsr Nellore District,30290406,72283071757.1
Andhra Pradesh,2021,2,Vizianagaram District,12689494,29140685236.83
Andhra Pradesh,2021,2,Visakhapatnam District,54390299,114439012713.35
Andhra Pradesh,2021,2,Prakasam District,19944047,54535328043.04
Andhra Pradesh,2021,2,Anantapur District,25123346,60987487571.28
Andhra Pradesh,2021,2,Ysr District,18457361,52523527031.02
Andhra Pradesh,2021,2,West Godavari District,20950964,57233116236.19
Andhra Pradesh,2021,2,Kurnool District,21972396,56659287475.0
Andhra Pradesh,2021,2,Chittoor District,34344902,73654690122.43
Andhra Pradesh,2021,2,Guntur District,32968819,82356914463.83
Andhra Pradesh,2021,2,Krishna District,36370960,90021923049.96
Andhra Pradesh,2021,3,East Godavari District,39572714,89380370072.71
Andhra Pradesh,2021,3,Srikakulam District,15639768,34836400769.88
Andhra Pradesh,2021,3,Spsr Nellore District,34411958,77839676988.31
Andhra Pradesh,2021,3,Vizianagaram District,14510005,31383541628.21
Andhra Pradesh,2021,3,Visakhapatnam District,69220981,136945652159.27
Andhra Pradesh,2021,3,Prakasam District,24116580,63367713446.93
Andhra Pradesh,2021,3,Anantapur District,30366444,70291248155.65
Andhra Pradesh,2021,3,Ysr District,22439316,60683557724.65
Andhra Pradesh,2021,3,West Godavari District,26245039,66647238455.17
Andhra Pradesh,2021,3,Kurnool District,26377809,62527453761.6
Andhra Pradesh,2021,3,Chittoor District,42628568,89371931753.05
Andhra Pradesh,2021,3,Guntur District,41675093,96525353090.12
Andhra Pradesh,2021,3,Krishna District,44828275,104417897558.59
Andhra Pradesh,2021,4,East Godavari District,48992531,106725597026.0
Andhra Pradesh,2021,4,Srikakulam District,18501857,39713657870.16
Andhra Pradesh,2021,4,Spsr Nellore District,41921081,92256405076.27
Andhra Pradesh,2021,4,Vizianagaram District,17253059,36577529464.97
Andhra Pradesh,2021,4,Visakhapatnam District,82711538,159530099772.73
Andhra Pradesh,2021,4,Prakasam District,27858275,71323060008.48
Andhra Pradesh,2021,4,Anantapur District,36129136,81239787006.65
Andhra Pradesh,2021,4,Ysr District,26340348,69081850069.2
Andhra Pradesh,2021,4,West Godavari District,33235175,81292461575.08
Andhra Pradesh,2021,4,Kurnool District,31782248,73968947669.65
Andhra Pradesh,2021,4,Chittoor District,51119640,103985734663.74
Andhra Pradesh,2021,4,Guntur District,50919286,115553993673.17
Andhra Pradesh,2021,4,Krishna District,55489829,125015323207.9
Andhra Pradesh,2022,1,East Godavari District,54738830,121067103712.8
Andhra Pradesh,2022,1,Srikakulam District,20990782,46898912115.65
Andhra Pradesh,2022,1,Spsr Nellore District,47645702,104895571602.14
Andhra Pradesh,2022,1,Vizianagaram District,19278262,41994853361.59
Andhra Pradesh,2022,1,Visakhapatnam District,88233362,170120350591.26
Andhra Pradesh,2022,1,Prakasam District,31340975,79494373254.72
Andhra Pradesh,2022,1,Anantapur District,40613148,90197023268.44
Andhra Pradesh,2022,1,Ysr District,29783739,78421693518.91
Andhra Pradesh,2022,1,West Godavari District,37271259,92397939903.61
Andhra Pradesh,2022,1,Kurnool District,35093633,81568420500.55
Andhra Pradesh,2022,1,Chittoor District,58561024,117900595508.63
Andhra Pradesh,2022,1,Guntur District,57226996,129673727687.09
Andhra Pradesh,2022,1,Krishna District,61826199,139690081529.49
Andhra Pradesh,2022,2,East Godavari District,62072845,135531452997.64
Andhra Pradesh,2022,2,Srikakulam District,23727353,53754764122.43
Andhra Pradesh,2022,2,Spsr Nellore District,54838708,121941082043.49
Andhra Pradesh,2022,2,Vizianagaram District,21766135,47294745020.5
Andhra Pradesh,2022,2,Visakhapatnam District,101387402,193242841582.14
Andhra Pradesh,2022,2,Prakasam District,36163507,90435082545.98
Andhra Pradesh,2022,2,Anantapur District,46099366,102138758015.77
Andhra Pradesh,2022,2,Ysr District,33154559,87601310069.6
Andhra Pradesh,2022,2,West Godavari District,44409239,107973244960.43
Andhra Pradesh,2022,2,Kurnool District,40165692,92409350855.5
Andhra Pradesh,2022,2,Chittoor District,67507661,136435445124.76
Andhra Pradesh,2022,2,Guntur District,66315749,147098141568.76
Andhra Pradesh,2022,2,Krishna District,73525814,163997729295.93
Andhra Pradesh,2022,3,East Godavari District,61467134,129677722169.75
Andhra Pradesh,2022,3,Srikakulam District,22126541,46899962921.79
Andhra Pradesh,2022,3,Spsr Nellore District,42116582,95099325968.26
Andhra Pradesh,2022,3,Vizianagaram District,20440645,42513313394.84
Andhra Pradesh,2022,3,Visakhapatnam District,97434546,181124419863.61
Andhra Pradesh,2022,3,Prakasam District,35376080,87475230073.46
Andhra Pradesh,2022,3,Anantapur District,45165363,97735649608.1
Andhra Pradesh,2022,3,Ysr District,33119038,86016932181.12
Andhra Pradesh,2022,3,West Godavari District,43635951,101706854744.32
Andhra Pradesh,2022,3,Kurnool District,39557913,88415335176.32
Andhra Pradesh,2022,3,Chittoor District,65751781,133053581631.64
Andhra Pradesh,2022,3,Guntur District,65612317,141588522953.24
Andhra Pradesh,2022,3,Krishna District,71051144,153770559025.69
Andhra Pradesh,2022,4,East Godavari District,68016055,136531110139.86
Andhra Pradesh,2022,4,Srikakulam District,23693779,47726411107.89
Andhra Pradesh,2022,4,Spsr Nellore District,42582064,92085916180.69
Andhra Pradesh,2022,4,Vizianagaram District,22205190,44467386404.35
Andhra Pradesh,2022,4,Visakhapatnam District,103790055,185306149744.73
Andhra Pradesh,2022,4,Prakasam District,37211077,88105031866.37
Andhra Pradesh,2022,4,Anantapur District,48299601,101533878537.23
Andhra Pradesh,2022,4,Ysr District,35201596,87360426792.82
Andhra Pradesh,2022,4,West Godavari District,47919930,105335724990.59
Andhra Pradesh,2022,4,Kurnool District,43524766,94667441029.08
Andhra Pradesh,2022,4,Chittoor District,70322534,136840859888.18
Andhra Pradesh,2022,4,Guntur District,70723763,146938735166.52
Andhra Pradesh,2022,4,Krishna District,76526667,157826011193.35
Andhra Pradesh,2023,1,East Godavari District,115196449,223454724672.0
Andhra Pradesh,2023,1,Srikakulam District,42209999,86486032409.0
Andhra Pradesh,2023,1,Spsr Nellore District,71318689,143967164643.0
Andhra Pradesh,2023,1,Vizianagaram District,38838861,76472384525.0
Andhra Pradesh,2023,1,Visakhapatnam District,164358781,277211090180.0
Andhra Pradesh,2023,1,Prakasam District,63671149,141672839638.0
Andhra Pradesh,2023,1,Anantapur District,82127373,162287796625.0
Andhra Pradesh,2023,1,Ysr District,59768512,140117633668.0
Andhra Pradesh,2023,1,West Godavari District,79094558,165941144654.0
Andhra Pradesh,2023,1,Kurnool District,72405172,149100361797.0
Andhra Pradesh,2023,1,Chittoor District,120192355,218037027226.0
Andhra Pradesh,2023,1,Guntur District,114246185,226244225817.0
Andhra Pradesh,2023,1,Krishna District,122104381,238058890676.0
Andhra Pradesh,2023,2,East Godavari District,131243375,245134717109.0
Andhra Pradesh,2023,2,Srikakulam District,47633204,93082175904.0
Andhra Pradesh,2023,2,Spsr Nellore District,82056071,165181391414.0
Andhra Pradesh,2023,2,Vizianagaram District,43625851,82671020353.0
Andhra Pradesh,2023,2,Visakhapatnam District,184918179,303874597259.0
Andhra Pradesh,2023,2,Prakasam District,73598725,158428689659.0
Andhra Pradesh,2023,2,Anantapur District,91695174,180050369328.0
Andhra Pradesh,2023,2,Ysr District,66809788,156231915019.0
Andhra Pradesh,2023,2,West Godavari District,92533269,187699526244.0
Andhra Pradesh,2023,2,Kurnool District,81475907,166991990104.0
Andhra Pradesh,2023,2,Chittoor District,136283483,245550525910.0
Andhra Pradesh,2023,2,Guntur District,132035450,254140764680.0
Andhra Pradesh,2023,2,Krishna District,141748488,267001403933.0
Andhra Pradesh,2023,3,East Godavari District,148701666,260414286361.0
Andhra Pradesh,2023,3,Srikakulam District,51382393,91818203167.0
Andhra Pradesh,2023,3,Spsr Nellore District,93875073,176593750929.0
Andhra Pradesh,2023,3,Vizianagaram District,47856766,83289704541.0
Andhra Pradesh,2023,3,Visakhapatnam District,209884966,328927220951.0
Andhra Pradesh,2023,3,Prakasam District,84447202,171207298619.0
Andhra Pradesh,2023,3,Anantapur District,104539628,192477441164.0
Andhra Pradesh,2023,3,Ysr District,76091693,168218516193.0
Andhra Pradesh,2023,3,West Godavari District,102962058,191891823401.0
Andhra Pradesh,2023,3,Kurnool District,92890445,172979053545.0
Andhra Pradesh,2023,3,Chittoor District,152863845,265404757144.0
Andhra Pradesh,2023,3,Guntur District,150246761,270651818044.0
Andhra Pradesh,2023,3,Krishna District,159421907,279540224039.0
Andhra Pradesh,2023,4,East Godavari District,162793144,282329255747.0
Andhra Pradesh,2023,4,Srikakulam District,56291337,97021746702.0
Andhra Pradesh,2023,4,Spsr Nellore District,97721962,179306028468.0
Andhra Pradesh,2023,4,Vizianagaram District,53248760,90289502507.0
Andhra Pradesh,2023,4,Visakhapatnam District,223584765,344512874812.0
Andhra Pradesh,2023,4,Prakasam District,89721677,174929737360.0
Andhra Pradesh,2023,4,Anantapur District,113698752,203367177888.0
Andhra Pradesh,2023,4,Ysr District,83729195,176644897379.0
Andhra Pradesh,2023,4,West Godavari District,114825704,209237892746.0
Andhra Pradesh,2023,4,Kurnool District,103816175,190597527675.0
Andhra Pradesh,2023,4,Chittoor District,163521593,274132458092.0
Andhra Pradesh,2023,4,Guntur District,160724947,281806839570.0
Andhra Pradesh,2023,4,Krishna District,173309415,298339038877.0
Andhra Pradesh,2024,1,East Godavari District,179489444,306324309402.0
Andhra Pradesh,2024,1,Srikakulam District,66267698,118669200655.0
Andhra Pradesh,2024,1,Spsr Nellore District,108549115,190803645040.0
Andhra Pradesh,2024,1,Vizianagaram District,61170983,105672797741.0
Andhra Pradesh,2024,1,Visakhapatnam District,238418938,363341573689.0
Andhra Pradesh,2024,1,Prakasam District,99550457,187480623851.0
Andhra Pradesh,2024,1,Anantapur District,125240418,212681689201.0
Andhra Pradesh,2024,1,Ysr District,94211451,190227479302.0
Andhra Pradesh,2024,1,West Godavari District,127602250,228733104931.0
Andhra Pradesh,2024,1,Kurnool District,115036343,204805909023.0
Andhra Pradesh,2024,1,Chittoor District,179903083,289620567340.0
Andhra Pradesh,2024,1,Guntur District,173636233,297371276946.0
Andhra Pradesh,2024,1,Krishna District,186352072,316993492628.0
Andhra Pradesh,2024,2,East Godavari District,197431466,319787453310.0
Andhra Pradesh,2024,2,Srikakulam District,70555405,119668161926.0
