State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
Andaman & Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.47
Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.3
Andaman & Nicobar Islands,2018,1,Merchant payments,298,452507.17
Andaman & Nicobar Islands,2018,1,Financial Services,33,10601.42
Andaman & Nicobar Islands,2018,1,Others,256,184689.87
Andaman & Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.73
Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.23
Andaman & Nicobar Islands,2018,2,Merchant payments,603,1024491.01
Andaman & Nicobar Islands,2018,2,Financial Services,59,121336.03
Andaman & Nicobar Islands,2018,2,Others,368,359838.51
Andaman & Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.87
Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.54
Andaman & Nicobar Islands,2018,3,Merchant payments,945,1627359.84
Andaman & Nicobar Islands,2018,3,Financial Services,42,1481.49
Andaman & Nicobar Islands,2018,3,Others,194,314343.39
Andaman & Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.51
Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.98
Andaman & Nicobar Islands,2018,4,Merchant payments,1421,3552027.74
Andaman & Nicobar Islands,2018,4,Financial Services,29,76035.79
Andaman & Nicobar Islands,2018,4,Others,340,468266.06
Andaman & Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.87
Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.87
Andaman & Nicobar Islands,2019,1,Merchant payments,1759,3266589.85
Andaman & Nicobar Islands,2019,1,Financial Services,62,116250.44
Andaman & Nicobar Islands,2019,1,Others,283,497094.65
Andaman & Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.26
Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.67
Andaman & Nicobar Islands,2019,2,Merchant payments,4031,4702152.62
Andaman & Nicobar Islands,2019,2,Financial Services,124,113278.91
Andaman & Nicobar Islands,2019,2,Others,377,671471.22
Andaman & Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.71
Andaman & Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.1
Andaman & Nicobar Islands,2019,3,Merchant payments,3519,4428734.57
Andaman & Nicobar Islands,2019,3,Financial Services,50,158857.94
Andaman & Nicobar Islands,2019,3,Others,215,232624.76
Andaman & Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.31
Andaman & Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.92
Andaman & Nicobar Islands,2019,4,Merchant payments,2920,5247500.49
Andaman & Nicobar Islands,2019,4,Financial Services,60,295937.21
